;Emplacement SPADOM - PECL (45777);45777;True
;Emplacement SPADOM - Triaudes 1 - Ecublens (33890);33890;True
;Emplacement SPADOM - César-Roux 29-31 (90110);90110;True
;Emplacement SPADOM - Cour 16 - La Chenille (33174);33174;True
;Emplacement SPADOM - Plaine chemin (45763);45763;True
;Emplacement SPADOM - Convergeance Sévelin (45282);45282;True
;Emplacement SPADOM - Provence Jeux de Boules (21776);21776;True
;Emplacement SPADOM - Boisy Piscine (21163);21163;True
;Emplacement SPADOM - Saint-Roch Collège (59905);59905;True
;Emplacement SPADOM - Baulieu Auberge (33120);33120;True
;Emplacement SPADOM - Sauvabelin restaurant (33808);33808;True
;Emplacement SPADOM - Grand-Vennes Sports (21473);21473;True
;Emplacement SPADOM - Parc Olympique partie sup. (742);742;True
;Emplacement SPADOM - Praz-Séchaud Station électrique (73900);73900;True
;Emplacement SPADOM - Montbenon esplanade (45631);45631;True
;Emplacement SPADOM - STEP (67883);67883;True
;Emplacement SPADOM - Beaulieu gymnase (90101);90101;True
;Emplacement SPADOM - Stade Olympique périphérie (45880);45880;True
;Emplacement SPADOM - Paragon (45740);45740;True
;Emplacement SPADOM - Libellules (45510);45510;True
;Emplacement SPADOM - Port Franc 18 (33885);33885;True
;Emplacement SPADOM - Simplon - Gare CFF (45809);45809;True
;Emplacement SPADOM - Pierre de Plan Gaz (71753);71753;True
;Emplacement SPADOM - P.-Viret Rue (obj. dispersés) (45781);45781;True
;Emplacement SPADOM - SI Chauderon 23-25-27 (70852);70852;True
;Emplacement SPADOM - Escaliers Perdonnet (45674);45674;True
;Emplacement SPADOM - Bossons, Maison de quertier (33170);33170;True
;Emplacement SPADOM - Florimont Collège (58457);58457;True
;Emplacement SPADOM - Montheron auberge (45018);45018;True
;Emplacement SPADOM - Saint-Paul placette (45798);45798;True
;Emplacement SPADOM - Curtat talus et vasques (45287);45287;True
;Emplacement SPADOM - Messidor promenade (45638);45638;True
;Emplacement SPADOM - Boisonnet CPE (33161);33161;True
;Emplacement SPADOM - Montoie jeux (45660);45660;True
;Emplacement SPADOM - Boveresses jeux (45181);45181;True
;Emplacement SPADOM - Archives communales (33072);33072;True
;Emplacement SPADOM - Montchoisi Collège (58640);58640;True
;Emplacement SPADOM - Montalègre promenade (45625);45625;True
;Emplacement SPADOM - Eterpey reservoir (72306);72306;True
;Emplacement SPADOM - Chalet-à-Gobet Centre Equestre (21245);21245;True
;Emplacement SPADOM - Libellules ch. Forestier (45511);45511;True
;Emplacement SPADOM - Denantou parc (45330);45330;True
;Emplacement SPADOM - Bourget parc (45179);45179;True
;Emplacement SPADOM - Elysée 4 - Bât.ex-ECAL (90353);90353;True
;Emplacement SPADOM - Echallens avenue Parcelle 111 (73300);73300;True
;Emplacement SPADOM - Mon Repos nord (45675);45675;True
;Emplacement SPADOM - Cecil promenade (45238);45238;True
;Emplacement SPADOM - Sévery placette (Dentan) (45834);45834;True
;Emplacement SPADOM - Vers-Chez-Les-Blanc Collège (58928);58928;True
;Emplacement SPADOM - Valency plantage (45904);45904;True
;Emplacement SPADOM - Bois-de-Vaux esplanade (45162);45162;True
;Emplacement SPADOM - Liberté promenade (45512);45512;True
;Emplacement SPADOM - Station Gaz, Bourget (45879);45879;True
;Emplacement SPADOM - Eglise anglaise promenade (45355);45355;True
;Emplacement SPADOM - St Marc promenade (45888);45888;True
;Emplacement SPADOM - Vallée jeunesse collège (90905);90905;True
;Emplacement SPADOM - Chavanne Terrains (21249);21249;True
;Emplacement SPADOM - Secrétan Placette + Eglise (45832);45832;True
;Emplacement SPADOM - Vidy zone port (45951);45951;True
;Emplacement SPADOM - Palace parcking (45745);45745;True
;Emplacement SPADOM - Musée historique jardin (45684);45684;True
;Emplacement SPADOM - Cité Derrière (45255);45255;True
;Emplacement SPADOM - Vidy J. Dalcroze et bains pub. (45954);45954;True
;Emplacement SPADOM - Pont Chauderon parking (73857);73857;True
;Emplacement SPADOM - Arzillier Collège (58079);58079;True
;Emplacement SPADOM - Warnery-pidou (45990);45990;True
;Emplacement SPADOM - Av. du 24 Janvier (45487);45487;True
;Emplacement SPADOM - Pontaise Verger Collège (58766);58766;True
;Emplacement SPADOM - J.-J. Mercier promenade (45493);45493;True
;Emplacement SPADOM - Vidy - Mini-golf (21955);21955;True
;Emplacement SPADOM - Pontaise, Maisonette (33720);33720;True
;Emplacement SPADOM - Druey - Egralets Promenade (45340);45340;True
;Emplacement SPADOM - 'Jetée d''Osche' (45820);45820;True
;Emplacement SPADOM - Bugnon Gymnase (90104);90104;True
;Emplacement SPADOM - Riant-Mont Placette (45790);45790;True
;Emplacement SPADOM - Montbenon casino (45630);45630;True
;Emplacement SPADOM - Malley lumière (45608);45608;True
;Emplacement SPADOM - Marquisat 9 (33493);33493;True
;Emplacement SPADOM - CADEV - Le Mont-Bouderon C (90105);90105;True
;Emplacement SPADOM - Mon Repos sud (45677);45677;True
;Emplacement SPADOM - Vidy Stade-Samaranch (21957);21957;True
;Emplacement SPADOM - Stade Olympique - Tennis & div (21881);21881;True
;Emplacement SPADOM - Bois-Mermet Terrain (21169);21169;True
;Emplacement SPADOM - Grandchamp station (73480);73480;True
;Emplacement SPADOM - Grandes Roches - Molasses (45472);45472;True
;Emplacement SPADOM - Cour 72 plantage (45271);45271;True
;Emplacement SPADOM - Ruchonnet 18 (90145);90145;True
;Emplacement SPADOM - Mercerie gymnase (90131);90131;True
;Emplacement SPADOM - Simplemont - Verdeil (45859);45859;True
;Emplacement SPADOM - Montriond temple (45665);45665;True
;Emplacement SPADOM - 'Terrains d''aventure' (45833);45833;True
;Emplacement SPADOM - Rumine Palais (90134);90134;True
;Emplacement SPADOM - Jomini promenade (45491);45491;True
;Emplacement SPADOM - Place du Général (45772);45772;True
;Emplacement SPADOM - Maillefer 35 - Le Mont (90130);90130;True
;Emplacement SPADOM - Provence nord Mobag (33776);33776;True
;Emplacement SPADOM - Terreaux 33 (33884);33884;True
;Emplacement SPADOM - Vidy Ruines romaines (45955);45955;True
;Emplacement SPADOM - Valency Piscine (21902);21902;True
;Emplacement SPADOM - Vallombreuse 14 (33922);33922;True
;Emplacement SPADOM - Sévelin église (45828);45828;True
;Emplacement SPADOM - César-Roux 34 (90111);90111;True
;Emplacement SPADOM - Bellerive place (45132);45132;True
;Emplacement SPADOM - Allée Ernest Ansermet (45121);45121;True
;Emplacement SPADOM - Bois-Gentil promenade et jeux (45167);45167;True
;Emplacement SPADOM - Sonotel (45804);45804;True
;Emplacement SPADOM - Chalet-à-Gobet Auberge (45010);45010;True
;Emplacement SPADOM - Montoie Collège (58660);58660;True
;Emplacement SPADOM - Ecole de cuture (90336);90336;True
;Emplacement SPADOM - Bois-Gentil Terrain (21167);21167;True
;Emplacement SPADOM - Arsenic Théatre (33710);33710;True
;Emplacement SPADOM - Bellefontani Parcking (1131);1131;True
;Emplacement SPADOM - Bellevaux divers (45135);45135;True
;Emplacement SPADOM - Bérallaz Foyer (45140);45140;True
;Emplacement SPADOM - Place de la Navigation (45750);45750;True
;Emplacement SPADOM - 'Vidy Tir à l''Arc' (21961);21961;True
;Emplacement SPADOM - Amag - CFF talus (45059);45059;True
;Emplacement SPADOM - Rotonde Garderie Prairie 52 (33787);33787;True
